,Title,Artist,Lyrics
0,Tu és + Águas Purificadoras (part. Débora Rabelo e Hamilton Rabelo),Florianópolis House Of Prayer (fhop music),"Junto ao poço estava eu
Quando um homem judeu
Viu a sede que havia em mim
Sem me ouvir, conheceu
E me ofereceu uma água que jorra sem fim
Dá-me de beber, pois tenho sede
Não quero mais buscar em outras fontes
Não precisarei aqui voltar pra minha sede saciar
Uma vez que eu já ouvi Teu falar
Tu és por quem a minh'alma esperou
A fonte da vida que me encontrou
És o dom de Deus, o Messias
O meu Salvador
Junto ao poço estava eu
Quando um homem judeu
Viu a sede que havia em mim
Sem me ouvir, conheceu
E me ofereceu uma água que jorra sem fim
Dá-me de beber, pois tenho sede
Não quero mais buscar em outras fontes
Não precisarei aqui voltar pra minha sede saciar
Uma vez que eu já ouvi Teu falar
Tu és por quem a minh'alma esperou
A fonte da vida que me encontrou
És o dom de Deus, o Messias
O meu Salvador
Tu és por quem a minh'alma esperou
A fonte da vida que me encontrou
És o dom de Deus, o Messias
O meu Salvador
Dá-me de beber, pois tenho sede
Não quero mais buscar em outras fontes
Não precisarei aqui voltar pra minha sede saciar
Uma vez que eu já ouvi Teu falar
Dá-me de beber, pois tenho sede
Não quero mais buscar em outras fontes
Não precisarei aqui voltar pra minha sede saciar
Uma vez que eu já ouvi Teu falar
Tu és por quem a minh'alma esperou
A fonte da vida que me encontrou
És o dom de Deus, o Messias
O meu Salvador
Tu és por quem a minh'alma esperou
A fonte da vida que me encontrou
És o dom de Deus, o Messias
O meu Salvador
Quero beber do Teu rio, Senhor
Sacia a minha sede, lava o meu interior
Eu quero fluir em Tuas águas
Eu quero beber da Tua fonte
Fonte de águas vivas
Quero beber do Teu rio, Senhor
Sacia a minha sede, lava o meu interior
Eu quero fluir em Tuas águas
Eu quero beber da Tua fonte
Fonte de águas vivas
Tu és por quem a minh'alma esperou
A fonte da vida que me encontrou
És o dom de Deus, o Messias
O meu Salvador
Tu és por quem a minh'alma esperou
A fonte da vida que me encontrou
És o dom de Deus, o Messias
O meu Salvador
Tu és por quem a minh'alma esperou
A fonte da vida que me encontrou
És o dom de Deus, o Messias
O meu Salvador"
1,BLUE,Billie Eilish,"Mmm, mmm, mmm
I try
To live in black and white, but I'm so blue
I'd like
To mean it when I say I'm over you
But that's still not true
(Blue, blue) and I'm still so blue, ooh
I thought we were the same, birds of a feather
Now I'm ashamed, I told you a lie
Désolé, mon amour, I'm trying my best
Don't know what's in store, open up the door (blue)
In the back of my mind, I'm still overseas (blue)
A bird in a cage, thought you were made for me
I try (I'm not what)
To live in black and white, but I'm so blue (but I'm not what you need)
I'd like (not what you need)
To mean it when I say I'm over you
But that's still not true, true
(Blue, blue) and I'm still so blue (that's not true)
I'm true blue, true blue
I'm true blue
(Blue, ooh) mmm, mmm, mmm
You were born bluer than a butterfly
Beautiful and so deprived of oxygen
Colder than your father's eyes
He never learned to sympathize with anyone
I don't blame you
But I can't change you
Don't hate you (don't hate you)
But we can't save you (but we can't save you)
You were born reaching for your mother's hands
Victim of your father's plans to rule the world
Too afraid to step outside
Paranoid and petrified of what you've heard
But they could say the same 'bout me
I sleep 'bout three hours each night
Means only twenty-one a week now, now
And I could say the same 'bout you
Born blameless, grew up famous too
Just a baby born blue now, now
I don't blame you (don't blame you)
But I can't change you
Don't hate you (don't hate you)
But we can't save you (but we can't save you)
(But they could say the same 'bout me)
(I sleep 'bout three hours each night)
(Means only twenty-one a week now)
(But they could say the same 'bout me)
(I sleep 'bout three hours each night)
(Means only twenty-one a week now)
(But they could say the same 'bout me)
(I sleep 'bout three hours each night)
(Means only twenty-one a week now)
(But they could say the same 'bout me)
(I sleep 'bout three hours each night)
(Means only twenty-one a week now)
(Ooh) it's over now
(Ooh) it's over now
(Ooh) it's over now
(Oh-oh-oh-ooh-ah)
But when can I hear the next one?"
2,CHIHIRO,Billie Eilish,"To take my love away
When I come back around, will I know what to say?
Said you won't forget my name
Not today
Not tomorrow
Kinda strange
Feeling sorrow
I got change (yeah)
You could borrow (borrow)
When I come back around, will I know what to say?
Not today
Maybe tomorrow
Open up the door, can you open up the door?
I know you said before you can't cope with any more
You told me it was war, said you'd show me what's in store
I hope it's not for sure, can you open up the door?
Did you
Take
My love
Away
From me, me?
Me
Saw your seat at the counter when I looked away
Saw you turn around, but it wasn't your face
Said: I need to be alone now, I'm taking a break
How come when I returned you were gone away?
I don't
I don't know why I called
I don't know you at all
I don't know you
Not at all
I don't
I don't know why I called
I don't know you at all
I don't know you
Did you
Take
My love
Away
From me, me?
And that's when you found me
I was waiting in the garden
Contemplating, beg your pardon
But there's a part of me that recognizes you
Do you feel it too?
When you told me it was serious
Were you serious? Mmm
They told me they were only curious
Now it's serious, mmm
Open up the door, can you open up the door?
I know you said before you can't cope with any more
You told me it was war, said you'd show me what's in store
I hope it's not for sure, can you open up the door?
Wringing my hands in my lap
And they tell me it's all been a trap
And you don't know if you'll make it back
I say: No, don't say that
(Wringing my hands in my lap)
(Tell me it's all been a trap)
(Don't know if you'll make it back)
(I say: No, don't say that)
(Wringing my hands in my lap)
(Tell me it's all been a trap)
(Don't know if you'll make it back)
(Don't say that)
Mhm"
3,Sagrado Profano (part. KayBlack),Luísa Sonza,"Dirijo sozinha pela tua rua
Deitada na cama com a camisa tua
Mania de mim
Só nós dois enfim
Fim de tarde em tom rosê
Dá vontade de beber
Mais um trago de você
Faz fumaça pra aquecer
Me olha e me encara, eu sou tua caça
Me engole e me encaixa, pode me comer
Pode me fu, ah
Pode me
Me encontra em todo mundo
Procura e me destrincha a fundo
Me diz qual amor não é confuso
Minado, inseguro
Ciúme de um fatídico segundo
Sagrado amor profano
Impuro amor profundo, yeah
Se a gente for a fundo mesmo
Pra te recordar que eu quis enfrentar todo esse sentimento confuso
Minado e inseguro
Como um mergulho raso
Buscando algo profundo, yeah, yeah, yeah
Não que eu seja inseguro, mas
Cê nem me deu confiança e eu
Tentei preservar o futuro em nós
Vai e vem nessa distância
E as lembranças só afetam mais
Fim de tarde nos lençóis
Bateu saudade de você sem
Sentada na cama com a minha peita branca
Me beija, me arranha, pede pra eu, ah
Pede pra eu fazer, pra satisfazer o seu prazer na cama
Anoiteceu, o quarto entra em chama
E é você quem chama e eu não vou negar que
Depois das briga, eu te desejo mais, mas
Quero te ouvir falar
Me olha e me encara, eu sou tua caça
Me engole e me encaixa, pode me comer
Pode me fu, ah
Pode me fu, ah
Me encontra em todo mundo
Procura e me destrincha a fundo
Me diz qual amor não é confuso
Minado, inseguro
Ciúme de um fatídico segundo
Sagrado amor profano
Impuro amor profundo, yeah
Se a gente for a fundo mesmo
Pra te recordar que eu quis enfrentar todo esse sentimento confuso
Minado e inseguro
Como um mergulho raso
Buscando algo profundo, yeah, yeah, yeah"
4,Escape,Renascer Praise,"O inimigo tenta laços e embaraços
Pra me envergonhar, mas não vai
Porque eu não estou sozinho nessa guerra
Está comigo o braço forte do Senhor
Aquele que acalma o vento
Aquele que aquieta o mar
Que tira a força do fogo
E faz o leão jejuar
O Deus que derruba as muralhas
Da estéril faz mãe de filhos
É o mesmo que brada do alto
Não temas, sou contigo
Deus já tem um caminho aberto pelas águas
Faz romper muitas fontes em meio ao deserto
Haverá nuvens que trazem chuvas de bênçãos
Ouça a voz, Deus te dá escape e livramento
O inimigo tenta laços e embaraços
Pra me envergonhar, mas não vai
Porque eu não estou sozinho nessa guerra
Está comigo o braço forte do Senhor
Aquele que acalma o vento
Aquele que aquieta o mar
Que tira a força do fogo
E faz o leão jejuar
O Deus que derruba as muralhas
Da estéril faz mãe de filhos
É o mesmo que brada do alto
Não temas, sou contigo
Deus já tem um caminho aberto pelas águas
Faz romper muitas fontes em meio ao deserto
Haverá nuvens que trazem chuvas de bênçãos
Ouça a voz, Deus te dá escape e livramento
Deus já tem um caminho aberto pelas águas
Faz romper muitas fontes em meio ao deserto
Haverá nuvens que trazem chuvas de bênçãos
Ouça a voz, Deus te dá escape e livramento
Aquele que acalma o vento
Aquele que aquieta o mar
Que tira a força do fogo
E faz o leão jejuar
O Deus que derruba as muralhas
Da estéril faz mãe de filhos
É o mesmo que brada do alto
Não temas, sou contigo
Deus já tem um caminho aberto pelas águas
Faz romper muitas fontes em meio ao deserto
Haverá nuvens que trazem chuvas de bênçãos
Ouça a voz, Deus te dá escape e livramento
Leão da Tribo de Judá
Rei dos Reis reina para sempre
Leão da Tribo de Judá
Rei dos Reis reina para sempre
Leão da Tribo de Judá
Rei dos Reis reina para sempre
Leão da Tribo de Judá
Rei dos Reis reina para sempre
Reina para sempre
Reina para sempre
Deus já tem um caminho aberto pelas águas
Faz romper muitas fontes em meio ao deserto
Haverá nuvens que trazem chuvas de bênçãos
Ouça a voz, Deus te dá escape e livramento"
5,Beautiful Things,Benson Boone,"For a while there, it was rough
But lately I've been doin' better
Than the last four cold Decembers
I recall
And I see my family every month
I found a girl my parents love
She'll come and stay the night
And I think I might have it all
And I thank God every day
For the girl He sent my way
But I know the things He gives me
He can take away
And I hold you every night
And that's a feeling I wanna get used to
But there's no man as terrified
As the man who stands to lose you
Oh, I hope I don't lose you
Mmm, please, stay
I want you, I need you, oh, God
Don't take
These beautiful things that I've got
Please, stay
I want you, I need you, oh, God
Don't take
These beautiful things that I've got
Oh, ooh
Please, don't take
I found my mind, I'm feelin' sane
It's been a while, but I'm findin' my faith
If everything's good and it's great
Why do I sit and wait till it's gone?
Oh, I'll tell ya, I know I've got enough
I've got peace and I've got love
But I'm up at night thinkin' I just might lose it all
Please, stay
I want you, I need you, oh, God
Don't take
These beautiful things that I've got
Oh, ooh
Please, stay
I want you, I need you, oh, God
I need
These beautiful things that I've got"
6,BIRDS OF A FEATHER,Billie Eilish,"I want you to stay
Till I'm in the grave
Till I rot away, dead and buried
Till I'm in the casket you carry
If you go, I'm going too, uh
'Cause it was always you, uh
And if I'm turning blue, please, don't save me
Nothing left to lose without my baby
Birds of a feather, we should stick together
I know I said I'd never think I wasn't better alone
Can't change the weather, might not be forever
But if it's forever, it's even better
And I don't know what I'm crying for
I don't think I could love you more
It might not be long, but, baby, I
I'll love you till the day that I die
Till the day that I die
Till the light leaves my eyes
Till the day that I die
I want you to see, mmm
How you look to me, huh
You wouldn't believe if I told ya
You would keep the compliments I throw ya
But you're so full of shit, hmm
Tell me it's a bit, oh
Say you don't see it, your mind's polluted
Say you wanna quit, don't be stupid
And I don't know what I'm crying for
I don't think I could love you more
It might not be long, but, baby, but I
Don't wanna say goodbye
(Birds of a feather, we should stick together) till the day that I die
(I know I said I'd never think I wasn't better alone) till the light leaves my eyes
(Can't change the weather, might not be forever) till the day that I die
But if it's forever, it's even better
I knew you in another life
You had the same look in your eyes
I love you, don't act so surprised"
7,Porque Ele Vive,Harpa Cristã,"Deus enviou Seu Filho amado
Pra me perdoar e salvar
Na cruz morreu por meus pecados
Mas ressurgiu e vivo com o Pai está
Porque Ele vive, posso crer no amanhã
Porque Ele vive, temor não há
Mas eu bem sei, eu sei que a minha vida
Está nas mãos do meu Jesus, que vivo está
E quando, enfim, chegar a hora
Em que a morte enfrentarei
Sem medo, então, terei vitória
Verei na glória o meu Jesus, que vivo está
Porque Ele vive, posso crer no amanhã
Porque Ele vive, temor não há
Mas eu bem sei, eu sei que a minha vida
Está nas mãos do meu Jesus, que vivo está
Porque Ele vive, posso crer no amanhã
Porque Ele vive, temor não há
Mas eu bem sei, eu sei que a minha vida
Está nas mãos do meu Jesus, que vivo está
Está nas mãos do meu Jesus, que vivo está"
8,Houdini,Eminem,"Hey, Em, it's Paul
Uh, I was listening to the album
Good fucking luck, you're on your own
Guess who's back, back again?
Shady's back, tell a friend
Guess who's back, back again?
Shady's back, tell a friend
Guess who's back, back again?
Shady's back, tell a friend
Guess who's back? Guess who's back?
Guess who's back? Guess who's back?
Guess who's back? Guess who's back?
Guess who's back? (Haha)
Da-da-da-da-da-da, da-da-da
Da-da-da-da
Well, look what the stork brung (what?)
Little baby devil with the forked tongue (huh)
And it's stickin' out, yeah, like a sore thumb (bleh)
With a forehead that it grew horns from (look)
Still a white jerk (it's him)
Pullin' up in a Chrysler to the cypher
With the Vics, Percs and a Bud Light shirt
Lyrical technician (yeah), an electrician (yeah)
Y'all light work (haha)
And I don't gotta play pretend, it's you I make believe (what?)
And you know I'm here to stay 'cause me (why?)
If I was to ever take a leave (what?)
It would be aspirin' to break a feve' (yeah)
If I was to ask for Megan Thee (what?)
Stallion if she would collab with me
Would I really have a shot at a feat? (Haha)
I don't know, but I'm glad to be back like
Abra', abracadabra (and for my last trick)
I'm 'bout to reach in my bag, bruh (like)
Abra', abracadabra (and for my last trick, poof)
Just like that and I'm back, bro
Now, back in the days of old me (when?)
Right around the time I became a dope fiend (oh)
Ate some codeine as a way of copin', taste of opiates (mmm)
Case of OE turned me into smiley face emoji (woo)
My shit may not be age-appropriate
But I will hit an eight-year-old in the face with a participation trophy (ooh)
'Cause I have zero doubts
That this whole world's 'bout
To turn into some girl scouts
That censorship bureau's out to (shut me down)
So when I started this verse (yeah), it did start off lighthearted at first
But it feels like I'm targeted, mind-bogglin' how my profit has skyrocketed
Look what I pocketed, yeah, the shit is just like y'all had been light joggin'
And I've been runnin' at full speed and that's why I'm ahead like my noggin'
And I'm the fight y'all get in when you debate who the best, but opps, I'm white chalkin'
When I step up to that mic, cock it then: Oh my God, it's him! Not again!
Abra', abracadabra (and for my last trick)
I'm 'bout to reach in my bag, bruh (like)
Abra', abracadabra (and for my last trick, poof)
Just like that and I'm back, bro (break it down)
Abra', abracadabra (and for my last trick)
I'm 'bout to reach in my bag, bruh (like)
Abra', abracadabra (and for my last trick, poof)
Just like that and I'm back, bro (break it down)
Sometimes I wonder what the old me'd say (if what?)
If he could see the way shit is today (look at this shit, man)
He'd probably say that everything is gay (like, happy)
What's my name? What's my name? (Slim Shady)
So how many little kids still wanna act like me? (Haha)
I'm a bigger prick than cacti be (yeah)
And that's why these (what?)
Words sting just like you were bein' attacked by bees (bzz)
In the coupe, leanin' back my seat (what?)
Bumpin' R. Kelly's favorite group (uh), the Black Guy (Guy) Pees (haha, Pees)
In my Air Max 90s, white Ts, walkin' Parental Advisory
My transgender cat's Siamese (why?)
Identifies as Black, but acts Chinese (haha)
Like a motherfuckin' Hacky Sack, I treat (what?)
The whole world 'cause I got it at my feet (yeah)
How can I explain to you (what?)
That even myself I'm a danger to? (Yeah)
I hop on tracks like a kangaroo
And say a few things or two to anger you
But fuck that, if I think that shit, I'ma say that shit
Cancel me, what? Okay, that's it
Go ahead, Paul, quit, snake-ass prick
You male cross-dresser (haha), fake-ass bitch
And I'll probably get shit for that (watch)
But you can all suck my dick, in fact
Fuck them, fuck Dre, fuck Jimmy, fuck me, fuck you
Fuck my own kids, they're brats (fuck 'em)
They can screw off (yeah), them and you all (uh)
You too, Paul (punk), got two balls big as RuPaul's (woah)
What you thought you saw ain't what you saw (nah)
'Cause you're never gon' see me
Caught sleepin' and, see, the kidnappin' never did happen (no)
Like Sherri Papini, Harry Houdini
I vanish into the thin air as I'm leavin' like
Abra', abracadabra (and for my last trick)
I'm 'bout to reach in my bag, bruh (like)
Abra', abracadabra (and for my last trick, poof)
Just like that and I'm back, bro"
9,Em Fervente Oração,Harpa Cristã,"Em fervente oração, vem o teu coração
Na presença de Deus derramar
Mas só podes fruir o que estás a pedir
Quando tudo deixares no altar
Quando tudo perante o Senhor estiver
E todo o teu ser Ele controlar
Só então hás de ver que o Senhor tem poder
Quando tudo deixares no altar
Maravilhas de amor te fará o Senhor
Atendendo à oração que aceitar
Seu imenso poder te virá socorrer
Quando tudo deixares no altar
Quando tudo perante o Senhor estiver
E todo o teu ser Ele controlar
Só então hás de ver que o Senhor tem poder
Quando tudo deixares no altar
Se orares, porém, sem o teu coração
Ter a paz que o Senhor pode dar
Foi por Deus não sentir que tua alma se abriu
Tudo, tudo, deixando no altar
Quando tudo perante o Senhor estiver
E todo o teu ser Ele controlar
Só então hás de ver que o Senhor tem poder
Quando tudo deixares no altar"
